"Année","Canton (-) / District (>>) / Commune (......)","Durée du mariage","Nationalité (catégorie) partenaire 1","Nationalité (catégorie) partenaire 2 - total","Suisse","Étranger"
"1987","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",11553,10622,931
"1987","Suisse","Durée du mariage - total","Suisse",9211,9211,0
"1987","Suisse","Durée du mariage - total","Étranger",2342,1411,931
"1987","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",2436,2260,176
"1987","Suisse","0-4 ans","Suisse",1851,1851,0
"1987","Suisse","0-4 ans","Étranger",585,409,176
"1987","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",2856,2630,226
"1987","Suisse","5-9 ans","Suisse",2175,2175,0
"1987","Suisse","5-9 ans","Étranger",681,455,226
"1987","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",1915,1789,126
"1987","Suisse","10-14 ans","Suisse",1574,1574,0
"1987","Suisse","10-14 ans","Étranger",341,215,126
"1987","Suisse","15-19 ans","Nationalité (catégorie) partenaire 1 - total",1858,1698,160
"1987","Suisse","15-19 ans","Suisse",1527,1527,0
"1987","Suisse","15-19 ans","Étranger",331,171,160
"1987","Suisse","20 ans ou plus","Nationalité (catégorie) partenaire 1 - total",2488,2245,243
"1987","Suisse","20 ans ou plus","Suisse",2084,2084,0
"1987","Suisse","20 ans ou plus","Étranger",404,161,243
"1988","Suisse","Durée du mariage - total","Nationalité (catégorie) partenaire 1 - total",12731,11630,1101
"1988","Suisse","Durée du mariage - total","Suisse",9963,9963,0
"1988","Suisse","Durée du mariage - total","Étranger",2768,1667,1101
"1988","Suisse","0-4 ans","Nationalité (catégorie) partenaire 1 - total",2699,2498,201
"1988","Suisse","0-4 ans","Suisse",2014,2014,0
"1988","Suisse","0-4 ans","Étranger",685,484,201
"1988","Suisse","5-9 ans","Nationalité (catégorie) partenaire 1 - total",3270,2998,272
"1988","Suisse","5-9 ans","Suisse",2420,2420,0
"1988","Suisse","5-9 ans","Étranger",850,578,272
"1988","Suisse","10-14 ans","Nationalité (catégorie) partenaire 1 - total",2039,1870,169
